Quat_X	Quat_Y	Quat_Z	Quat_W	Roll(deg)	Pitch(deg)	Yaw(deg)
0.008332	0.006310	0.002230	0.999943	0.956455	0.720921	0.261571
0.008332	0.006310	0.002230	0.999943	0.956455	0.720921	0.261571
0.008332	0.006310	0.002230	0.999943	0.956455	0.720921	0.261571
0.008332	0.006310	0.002230	0.999943	0.956455	0.720921	0.261571
0.008332	0.006310	0.002230	0.999943	0.956455	0.720921	0.261571
0.008350	0.006378	0.001560	0.999944	0.958048	0.729350	0.184871
0.008350	0.006378	0.001560	0.999944	0.958048	0.729350	0.184871
0.008350	0.006378	0.001560	0.999944	0.958048	0.729350	0.184871
0.008350	0.006378	0.001560	0.999944	0.958048	0.729350	0.184871
0.008350	0.006378	0.001560	0.999944	0.958048	0.729350	0.184871
0.008118	0.005929	0.001820	0.999948	0.931548	0.677701	0.214077
0.008118	0.005929	0.001820	0.999948	0.931548	0.677701	0.214077
0.008118	0.005929	0.001820	0.999948	0.931548	0.677701	0.214077
0.008118	0.005929	0.001820	0.999948	0.931548	0.677701	0.214077
0.008118	0.005929	0.001820	0.999948	0.931548	0.677701	0.214077
0.008487	0.006197	0.002112	0.999943	0.974103	0.708047	0.248050
0.008487	0.006197	0.002112	0.999943	0.974103	0.708047	0.248050
0.008487	0.006197	0.002112	0.999943	0.974103	0.708047	0.248050
0.008487	0.006197	0.002112	0.999943	0.974103	0.708047	0.248050
0.008487	0.006197	0.002112	0.999943	0.974103	0.708047	0.248050
0.008295	0.006066	0.001929	0.999945	0.951940	0.693258	0.226818
0.008295	0.006066	0.001929	0.999945	0.951940	0.693258	0.226818
0.008295	0.006066	0.001929	0.999945	0.951940	0.693258	0.226818
0.008295	0.006066	0.001929	0.999945	0.951940	0.693258	0.226818
0.008295	0.006066	0.001929	0.999945	0.951940	0.693258	0.226818
0.008295	0.006205	0.001651	0.999945	0.951775	0.709450	0.195094
0.008295	0.006205	0.001651	0.999945	0.951775	0.709450	0.195094
0.008295	0.006205	0.001651	0.999945	0.951775	0.709450	0.195094
0.008295	0.006205	0.001651	0.999945	0.951775	0.709450	0.195094
